Период: 16.01.2026-22.01.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
66931453-0312-1;16.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;27%;;;-46,77 ₽
66931453-0312-1;16.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;0%;;;360,95 ₽
66931453-0312-1;16.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;0%;;;3,61 ₽
66931453-0312-1;16.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;0%;;;159,44
66931453-0312-1;16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;27%;;;-141,48 ₽
66931453-0312-1;16.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00 ₽;09.01.2026;Ozon;FBO;27%;;;-3,03 ₽
66931453-0312-1;16.01.2026;Услуги агентов;Звёздные товары;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;09.01.2026;Ozon;FBO;0%;;;-2,62 ₽
66931453-0312-1;16.01.2026;Продвижение и реклама;Бонусы продавца;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;09.01.2026;;;0%;;;-2,34 ₽
25600670-0099;16.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;2;0,00 ₽;16.01.2026;;;0%;;;-12,72 ₽
45808830-0347;16.01.2026;Услуги агентов;Эквайринг;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00 ₽;16.01.2026;;;0%;;;-7,31 ₽
26649033-0220-1;16.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;27%;;;-46,77 ₽
26649033-0220-1;16.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;0%;;;238,22 ₽
26649033-0220-1;16.01.2026;Продажи;Программы партнёров;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;0%;;;2,38 ₽
26649033-0220-1;16.01.2026;Продажи;Баллы за скидки;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;0%;;;146,40
26649033-0220-1;16.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;27%;;;-104,49 ₽
26649033-0220-1;16.01.2026;Услуги агентов;Доставка до места выдачи;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;27%;;;-2,36 ₽
26649033-0220-3;16.01.2026;Услуги доставки;Логистика;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;27%;;;-46,77 ₽
26649033-0220-3;16.01.2026;Продажи;Выручка;4670157464770;1659212207;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00 ₽;10.01.2026;Ozon;FBO;0%;;;238,22 ₽
