Дата начисления;Тип начисления;Номер отправления или идентификатор услуги;Дата принятия заказа в обработку или оказания услуги;Склад отгрузки;SKU;Артикул;Название товара или услуги;Количество;За продажу или возврат до вычета комиссий и услуг;Вознаграждение Ozon, %;Вознаграждение Ozon;Сборка заказа;Обработка отправления (Drop-off/Pick-up) (разбивается по товарам пропорционально количеству в отправлении);Магистраль;Последняя миля (разбивается по товарам пропорционально доле цены товара в сумме отправления);Обратная магистраль;Обработка возврата;Обработка отмененного или невостребованного товара (разбивается по товарам в отправлении в одинаковой пропорции);Обработка невыкупленного товара;Логистика;Индекс локализации;Среднее время доставки, часы;Обратная логистика;Итого, руб.
16.01.2026;Доставка покупателю;66931453-0312-1;09.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00;27%;-141,48;0,00;0,00;0,00;-3,03;0,00;0,00;0,00;0,00;-46,77;;;0,00;332,72
16.01.2026;Звёздные товары;66931453-0312-1;09.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,62
16.01.2026;Бонусы продавца;66931453-0312-1;09.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,34
16.01.2026;Оплата эквайринга;25600670-0099;16.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;2;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-12,72
16.01.2026;Оплата эквайринга;45808830-0347;16.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-7,31
16.01.2026;Доставка покупателю;26649033-0220-1;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00;27%;-104,49;0,00;0,00;0,00;-2,36;0,00;0,00;0,00;0,00;-46,77;;;0,00;233,38
16.01.2026;Доставка покупателю;26649033-0220-3;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;387,00;27%;-104,49;0,00;0,00;0,00;-2,36;0,00;0,00;0,00;0,00;-46,77;;;0,00;233,38
16.01.2026;Звёздные товары;26649033-0220-3;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-1,94
16.01.2026;Звёздные товары;26649033-0220-1;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-1,94
16.01.2026;Доставка покупателю;0136421013-0060-3;10.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;423,00;27%;-114,21;0,00;0,00;0,00;-3,34;0,00;0,00;0,00;0,00;-46,77;;;0,00;258,68
