№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
1;31472919;БАДы;254327396;BIXIRUN;4670157464824;Магний В6 хелат 400 мг бисглицинат (глицинат);0;4670157464824;;Логистика;2026-01-04;2026-01-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;58;2025-08-01;2025-09-30;;0;0;К клиенту при продаже;;;153302;Красноярский край Красноярск проспект имени Газеты Красноярский Рабочий 39;;;Самара (Новосемейкино);Россия;Моно;;;0104670157464824215NEoZRZ'*FpXp�936Gsu;38654515762;25792638618728166.0.0;0;;0;0;0;2;Нет;0;0;0;0;0;0;33585277_25792638618728166;0;0;0;FBW, (МГТ, коробка);0;0;;0
2;31472919;БАДы;254327396;BIXIRUN;4670157464824;Магний В6 хелат 400 мг бисглицинат (глицинат);0;4670157464824;Продажа;Продажа;2026-01-04;2026-01-12;1;720;484;0;0;0;720;0;0;32,78;20,5;16,8;-15,98;-72,46;15,538;14,52;3;Перевыставление эквайринга;-85,20;-18,74;557,88;0;0;0;;;;0;0;;;Вайлдберриз Банк;153302;Красноярский край Красноярск проспект имени Газеты Красноярский Рабочий 39;;;Самара (Новосемейкино);Россия;Моно;;;0104670157464824215NEoZRZ'*FpXp�936Gsu;38654515762;25792638618728166.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;33585277_25792638618728166;0;0;0;;0;0;;0
3;0;;0;;;;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,17;-0,04;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322307;1e75f6ddf4924116a42286f2e10cdb3e.4.0;0,21;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
4;0;;0;;;;;;Продажа;Возмещение за выдачу и возврат товаров на ПВЗ;2026-01-12;2026-01-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,1;0;0;;-2,54;-0,56;0;0;0;0;;;;0;0;;;;163124;;;;;;;;;;28006720110;5865686177184286605.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
5;0;БАДы;254299021;BIXIRUN;4670157464831;Магний Цитрат 120 капсул;;4670157464831;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-2,51;-0,55;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720110;1075817;3,06;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
6;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-4,75;-1,04;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720930;931776;5,79;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
7;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-6,76;-1,49;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322301;4130674;8,25;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
8;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,11;-0,25;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322305;4356886;1,36;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
9;0;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;;4670227414995;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-2,07;-0,46;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198454036;2877011;2,53;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
10;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,82;-0,4;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515274;7681369;2,22;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
11;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-5,21;-1,15;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515278;7470280;6,36;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
12;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-5,35;-1,18;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515282;8448822;6,53;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
13;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-9,70;-2,14;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515330;7348783;11,84;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
14;0;L-карнитины;254278127;BIXIRUN;4670157464848;Л карнитин спортивный жиросжигатель 90 капсул;;4670157464848;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,36;-0,3;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515434;5022136;1,66;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
15;0;БАДы;254327396;BIXIRUN;4670157464824;Магний В6 хелат 400 мг бисглицинат (глицинат);;4670157464824;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-12;2026-01-12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-9,13;-2,01;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515762;7681371;11,14;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
16;0;;0;;;;;;;Хранение;2026-01-12;2026-01-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;fe7ba3d251905ab8a805817f883a42c371638027;0;;16,93;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
17;0;;0;;;;;4670157464831;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-13;2026-01-13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,58;-0,13;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720110;5865686177184286605.0.0;0,71;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
